time,response
0.0,0.0
0.001,0.000999500166624867
0.002,0.00199800133266681
0.003,0.0029955044966268884
0.004,0.0039920106560084045
0.005,0.004987520807317569
0.006,0.005982035946064612
0.007,0.0069755570667647815
0.008,0.007968085162939342
0.009000000000000001,0.008959621227116243
0.01,0.009950166250831893
0.011,0.010939721224631271
0.012,0.011928287138069371
0.013000000000000001,0.01291586497971231
0.014,0.013902455737137998
0.015,0.014888060396937242
0.016,0.015872679944714863
0.017,0.016856315365090246
0.018000000000000002,0.017838967641699233
0.019,0.018820637757193892
0.02,0.019801326693244636
0.021,0.02078103543054033
0.022,0.02175976494878984
0.023,0.02273751622672282
0.024,0.023714290242090597
0.025,0.024690087971667274
0.026000000000000002,0.025664910391250628
0.027,0.026638758475663105
0.028,0.02761163319875304
0.029,0.0285835355333951
0.03,0.029554466451491734
0.031,0.030524426923973946
0.032,0.0314934179208024
0.033,0.03246144041096799
0.034,0.03342849536249326
0.035,0.03439458374243343
0.036000000000000004,0.03535970651687692
0.037,0.0363238646509465
0.038,0.03728705910880037
0.039,0.038249290853633267
0.04,0.03921056084767671
0.041,0.04017087005220099
0.042,0.04113021942751538
0.043000000000000003,0.042088609932969256
0.044,0.04304604252695332
0.045,0.04400251816690004
0.046,0.04495803780928531
0.047,0.0459126024096288
0.048,0.046866212922495265
0.049,0.04781887030149512
0.05,0.048770575499285984
0.051000000000000004,0.04972132946757313
0.052000000000000005,0.05067113315711047
0.053,0.051619987517701804
0.054,0.05256789349820168
0.055,0.05351485204651618
0.056,0.05446086410960371
0.057,0.05540593063347665
0.058,0.05635005256320147
0.059000000000000004,0.05729323084290028
0.06,0.05823546641575128
0.061,0.05917676022399021
0.062,0.06011711320891111
0.063,0.06105652631086678
0.064,0.061995000469270534
0.065,0.06293253662259657
0.066,0.06386913570838115
0.067,0.06480479866322342
0.068,0.06573952642278647
0.069,0.06667331992179804
0.07,0.06760618009405173
0.07100000000000001,0.06853810787240788
0.07200000000000001,0.06946910418879426
0.073,0.07039916997420725
0.074,0.07132830615871277
0.075,0.07225651367144714
0.076,0.07318379344061776
0.077,0.07411014639350466
0.078,0.07503557345646072
0.079,0.07596007555491324
0.08,0.07688365361336424
0.081,0.07780630855539195
0.082,0.07872804130365141
0.083,0.07964885277987532
0.084,0.08056874390487534
0.085,0.08148771559854262
0.08600000000000001,0.08240576877984906
0.08700000000000001,0.08332290436684775
